id,runId,taskId,novelId,type,nodeKey,artifactId,artifactType,summary,affectedScope,severity,metadataJson,occurredAt,createdAt
task:pipeline_dispatch:d806a25f-5ab0-4355-ad3e-6ad43a512547,,cmr22h99w0000v16zwanj1p5t,,run_resumed,,,,导演任务已进入单轨执行管线。,,low,"{""commandType"":""generate_candidates"",""commandId"":null,""executionId"":null}",2026-07-01T12:43:53.652+00:00,2026-07-01T12:43:53.653+00:00
cmr22h99w0000v16zwanj1p5t:run_started:0375e14e-6075-485c-88be-095b38ab00ea,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,run_started,,,,自动导演候选阶段已进入统一运行时。,,,,2026-07-01T12:43:53.669+00:00,2026-07-01T12:43:53.718+00:00
cmr22h99w0000v16zwanj1p5t:node_started:47fffda5-15a2-4e60-9840-5a1c070bdca6,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,node_started,candidate_generation,,,生成书级候选,global:global,,"{""targetType"":""global"",""targetId"":null}",2026-07-01T12:43:53.771+00:00,2026-07-01T12:43:53.800+00:00
cmr22h99w0000v16zwanj1p5t:node_completed:29100543-784f-41a2-adfc-fc84641d1557,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,node_completed,candidate_generation,,,生成书级候选完成。,,,,2026-07-01T12:46:02.568+00:00,2026-07-01T12:46:02.585+00:00
cmr22h99w0000v16zwanj1p5t:pipeline_dispatch:ee07c5da-7000-4cea-8f57-1951c5f4a08b,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,run_resumed,,,,导演任务已进入单轨执行管线。,,low,"{""commandType"":""refine_titles"",""commandId"":null,""executionId"":null}",2026-07-01T13:01:57.504+00:00,2026-07-01T13:01:57.505+00:00
cmr22h99w0000v16zwanj1p5t:node_started:0f5f97a6-e3ae-4c79-aa0b-e2214061feec,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,node_started,candidate_title_refine,,,优化候选书名,global:global,,"{""targetType"":""global"",""targetId"":null}",2026-07-01T13:01:57.533+00:00,2026-07-01T13:01:57.544+00:00
cmr22h99w0000v16zwanj1p5t:node_completed:688b7f01-b795-49ef-84b6-62b9829dd220,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,node_completed,candidate_title_refine,,,优化候选书名完成。,,,,2026-07-01T13:02:38.466+00:00,2026-07-01T13:02:38.478+00:00
cmr22h99w0000v16zwanj1p5t:pipeline_dispatch:38c0cc6d-6792-4198-9a2d-35d4cd012e52,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,run_resumed,,,,导演任务已进入单轨执行管线。,,low,"{""commandType"":""confirm_candidate"",""commandId"":null,""executionId"":null}",2026-07-01T13:17:59.980+00:00,2026-07-01T13:17:59.981+00:00
cmr22h99w0000v16zwanj1p5t:node_started:1ff4fb6e-e680-4bc2-a44e-a2e5d54e5069,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,node_started,novel_create,,,创建小说项目,global:cmr22h99w0000v16zwanj1p5t,,"{""targetType"":""global"",""targetId"":""cmr22h99w0000v16zwanj1p5t""}",2026-07-01T13:18:12.196+00:00,2026-07-01T13:18:12.213+00:00
cmr22h99w0000v16zwanj1p5t:node_completed:0fa3ecd9-a703-415a-824e-326194da211b,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr23pgks000fv16zpwg1ms38,node_completed,novel_create,,,创建小说项目完成。,,,,2026-07-01T13:18:12.511+00:00,2026-07-01T13:18:12.530+00:00
