id,novelId,taskId,runId,stepIdempotencyKey,nodeKey,promptAssetKey,promptVersion,modelRoute,provider,model,status,attributionStatus,durationMs,promptTokens,completionTokens,totalTokens,metadataJson,recordedAt,createdAt
cmr22idfh0003v16zihlm02er,,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:candidate_generation:global:global,candidate_generation,novel.director.candidates,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,47898,1820,1955,3775,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T12:44:41.975+00:00,2026-07-01T12:44:41.981+00:00
cmr22j96c0004v16zyw0bciew,,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:candidate_generation:global:global,candidate_generation,title.generation,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,40967,1722,1868,3590,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T12:45:23.124+00:00,2026-07-01T12:45:23.124+00:00
cmr22jdjj0005v16z24bbq8q3,,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:candidate_generation:global:global,candidate_generation,title.generation,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,46630,1681,2168,3849,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T12:45:28.782+00:00,2026-07-01T12:45:28.783+00:00
cmr22k3kj0006v16zqxuqts5k,,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:candidate_generation:global:global,candidate_generation,title.generation,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,33715,1714,1384,3098,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T12:46:02.513+00:00,2026-07-01T12:46:02.514+00:00
cmr235g0h000av16zlunqmkup,,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:candidate_title_refine:global:global,candidate_title_refine,title.generation,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,40801,1718,1894,3612,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:02:38.416+00:00,2026-07-01T13:02:38.417+00:00
cmr23pghl000dv16zok1zgggv,,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,,,novel.framing.suggest,v1,planner,deepseek,deepseek-v4-pro,recorded,task_only,12083,826,479,1305,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:18:12.150+00:00,2026-07-01T13:18:12.153+00:00
cmr23qjnd000sv16z2uv3andp,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:story_macro_phase:novel:cmr23pgks000fv16zpwg1ms38,story_macro_phase,novel.story_macro.decomposition,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,49716,2439,2152,4591,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:19:02.903+00:00,2026-07-01T13:19:02.905+00:00
cmr23r61s001iv16z3e4o4gvr,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:book_contract_phase:novel:cmr23pgks000fv16zpwg1ms38,book_contract_phase,novel.director.book_contract,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,28576,3018,1193,4211,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:19:31.934+00:00,2026-07-01T13:19:31.935+00:00
cmr23v3r60024v16zyldkwmi9,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:world_setup_phase:novel:cmr23pgks000fv16zpwg1ms38,world_setup_phase,novel.world.generate_from_theme,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,183211,3628,8280,11908,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":""novel-world-generate""}",2026-07-01T13:22:35.584+00:00,2026-07-01T13:22:35.586+00:00
cmr23x37u0025v16zys1c2far,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:world_setup_phase:novel:cmr23pgks000fv16zpwg1ms38,world_setup_phase,storyWorldSlice.generate,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,92505,4516,4434,8950,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:24:08.200+00:00,2026-07-01T13:24:08.202+00:00
cmr23xim80031v16znhoz6l4f,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:character_setup_phase:novel:cmr23pgks000fv16zpwg1ms38,character_setup_phase,storyWorldSlice.generate,v1,planner,deepseek,deepseek-chat,recorded,step_attributed,19467,4980,2453,7433,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:24:28.158+00:00,2026-07-01T13:24:28.160+00:00
cmr23zivd0048v16zffbgdw5v,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:character_setup_phase:novel:cmr23pgks000fv16zpwg1ms38,character_setup_phase,novel.character.castAuto,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,93604,2707,5863,8570,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:26:01.799+00:00,2026-07-01T13:26:01.800+00:00
cmr240726005qv16zvmcf1729,cmr23pgks000fv16zpwg1ms38,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t,cmr22h99w0000v16zwanj1p5t:character_setup_phase:novel:cmr23pgks000fv16zpwg1ms38,character_setup_phase,novel.character.visible_profile.complete,v1,planner,deepseek,deepseek-v4-pro,recorded,step_attributed,30873,5740,1211,6951,"{""taskType"":""planner"",""modelRoute"":""planner"",""routeDegraded"":false,""chapterId"":null,""volumeId"":null,""stage"":null,""itemKey"":null,""scope"":null,""entrypoint"":null}",2026-07-01T13:26:33.149+00:00,2026-07-01T13:26:33.150+00:00
