id,novelId,jobType,status,idempotencyKey,payloadVersion,payloadJson,attempts,maxAttempts,runAfter,leaseOwner,leaseExpiresAt,lastError,finishedAt,createdAt,updatedAt
cmr24zoar01rgv16zneyexjhh,cmr23pgks000fv16zpwg1ms38,character.volumeRebuild,succeeded,character.volumeRebuild:cmr23pgks000fv16zpwg1ms38:workspace_updated:53989340de2f85f27cd414abb95838ac9dba292e,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""sourceType"":""volume_projection""}",1,5,2026-07-01T13:54:08.448+00:00,,,,2026-07-01T13:54:23.813+00:00,2026-07-01T13:54:08.451+00:00,2026-07-01T13:54:23.814+00:00
cmr24ztz601t3v16zp88ogtys,cmr23pgks000fv16zpwg1ms38,character.volumeRebuild,succeeded,character.volumeRebuild:cmr23pgks000fv16zpwg1ms38:workspace_updated:e01e022ff35aa4cb89eacf11bfa75ecaac8c875d,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""sourceType"":""volume_projection""}",1,5,2026-07-01T13:54:15.809+00:00,,,,2026-07-01T13:54:33.037+00:00,2026-07-01T13:54:15.810+00:00,2026-07-01T13:54:33.038+00:00
cmr261x6b0495v16zyjuq0ll0,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr25sbs2046kv16zrvyuw8vc,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr25sbs2046kv16zrvyuw8vc"",""label"":""pipeline-cmr25sbs""}",1,5,2026-07-01T14:23:52.882+00:00,,,,2026-07-01T14:23:55.664+00:00,2026-07-01T14:23:52.883+00:00,2026-07-01T14:23:55.664+00:00
cmr269swo04byv16z8lpa1o37,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr261xej0497v16zwjf1pmff,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr261xej0497v16zwjf1pmff"",""label"":""pipeline-cmr261xe""}",1,5,2026-07-01T14:30:00.599+00:00,,,,2026-07-01T14:30:02.432+00:00,2026-07-01T14:30:00.599+00:00,2026-07-01T14:30:02.432+00:00
cmr26fuik04h5v16zj1753gga,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr269tdt04c0v16zatpq2q2c,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr269tdt04c0v16zatpq2q2c"",""label"":""pipeline-cmr269td""}",1,5,2026-07-01T14:34:42.620+00:00,,,,2026-07-01T14:34:44.429+00:00,2026-07-01T14:34:42.620+00:00,2026-07-01T14:34:44.430+00:00
cmr26psh404nhv16zcf598rt1,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr26fv0604h7v16zpk3a3fay,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr26fv0604h7v16zpk3a3fay"",""label"":""pipeline-cmr26fv0""}",1,5,2026-07-01T14:42:26.536+00:00,,,,2026-07-01T14:42:28.909+00:00,2026-07-01T14:42:26.536+00:00,2026-07-01T14:42:28.909+00:00
cmr26y8xe04qsv16zfuqtnqlr,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr26ptjl04nkv16znlnw2w0b,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr26ptjl04nkv16znlnw2w0b"",""label"":""pipeline-cmr26ptj""}",1,5,2026-07-01T14:49:01.106+00:00,,,,2026-07-01T14:49:04.628+00:00,2026-07-01T14:49:01.106+00:00,2026-07-01T14:49:04.628+00:00
cmr275pfk04ufv16zrpedyepj,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr26y95704quv16zt7sgn72z,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr26y95704quv16zt7sgn72z"",""label"":""pipeline-cmr26y95""}",1,5,2026-07-01T14:54:49.087+00:00,,,,2026-07-01T14:54:51.341+00:00,2026-07-01T14:54:49.088+00:00,2026-07-01T14:54:51.342+00:00
cmr27coqu04wyv16zine9zg9d,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr275q6g04uiv16zg289p2nk,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr275q6g04uiv16zg289p2nk"",""label"":""pipeline-cmr275q6""}",1,5,2026-07-01T15:00:14.789+00:00,,,,2026-07-01T15:00:17.874+00:00,2026-07-01T15:00:14.789+00:00,2026-07-01T15:00:17.878+00:00
cmr27yo9y04zlv16zah8mb4h8,cmr23pgks000fv16zpwg1ms38,novel.pipelineSnapshot,succeeded,novel.pipelineSnapshot:cmr27covk04x0v16zaoxd4369,1,"{""novelId"":""cmr23pgks000fv16zpwg1ms38"",""jobId"":""cmr27covk04x0v16zaoxd4369"",""label"":""pipeline-cmr27cov""}",1,5,2026-07-01T15:17:20.613+00:00,,,,2026-07-01T15:17:23.962+00:00,2026-07-01T15:17:20.614+00:00,2026-07-01T15:17:23.963+00:00
