id,tenantId,jobType,ownerType,ownerId,status,attempts,maxAttempts,runAfter,payloadJson,lastError,createdAt,updatedAt
cmr08kx4k001tr46zl480s3ec,default,upsert,novel,cmr08kx3p001sr46zwv45hsaf,queued,0,5,2026-06-30T05:59:06.160+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-06-30T05:59:06.161Z""}}",,2026-06-30T05:59:06.164+00:00,2026-06-30T05:59:06.164+00:00
cmr23pglq000gv16z3xyq5ysd,default,upsert,novel,cmr23pgks000fv16zpwg1ms38,queued,0,5,2026-07-01T13:18:12.297+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T13:18:12.298Z""}}",,2026-07-01T13:18:12.302+00:00,2026-07-01T13:18:12.302+00:00
cmr23zj52004vv16zlw3zzy76,default,upsert,character,cmr23zj4j004tv16zlc1ewt6u,queued,0,5,2026-07-01T13:26:02.147+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T13:26:02.148Z""}}",,2026-07-01T13:26:02.150+00:00,2026-07-01T13:26:02.150+00:00
cmr23zj5a004xv16zykze2ahn,default,upsert,character,cmr23zj4y004uv16zh1dm72nm,queued,0,5,2026-07-01T13:26:02.157+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T13:26:02.157Z""}}",,2026-07-01T13:26:02.158+00:00,2026-07-01T13:26:02.158+00:00
cmr23zj5h004zv16zp0nmuf82,default,upsert,character,cmr23zj58004wv16zpaestpwt,queued,0,5,2026-07-01T13:26:02.165+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T13:26:02.165Z""}}",,2026-07-01T13:26:02.165+00:00,2026-07-01T13:26:02.165+00:00
cmr23zj5p0051v16zho5q2kyd,default,upsert,character,cmr23zj5f004yv16ztyiw8inw,queued,0,5,2026-07-01T13:26:02.172+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T13:26:02.172Z""}}",,2026-07-01T13:26:02.173+00:00,2026-07-01T13:26:02.173+00:00
cmr23zj5w0053v16zohtggwvn,default,upsert,character,cmr23zj5m0050v16zyqacdl0n,queued,0,5,2026-07-01T13:26:02.179+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T13:26:02.179Z""}}",,2026-07-01T13:26:02.180+00:00,2026-07-01T13:26:02.180+00:00
cmr23zj620054v16za69wryb9,default,upsert,character,cmr23zj5u0052v16zbgy6zbi1,queued,0,5,2026-07-01T13:26:02.185+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T13:26:02.185Z""}}",,2026-07-01T13:26:02.186+00:00,2026-07-01T13:26:02.186+00:00
cmr25zjbf047ov16zkyuxo7dy,default,upsert,character_timeline,cmr25zj9g0476v16zsuhhc4cz,queued,0,5,2026-07-01T14:22:01.595+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.596Z""}}",,2026-07-01T14:22:01.611+00:00,2026-07-01T14:22:01.611+00:00
cmr25zjbg047pv16zod2ocvc6,default,upsert,character_timeline,cmr25zj9g0477v16zyjb9p6tb,queued,0,5,2026-07-01T14:22:01.596+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.596Z""}}",,2026-07-01T14:22:01.612+00:00,2026-07-01T14:22:01.612+00:00
cmr25zjbh047qv16z13icko6e,default,upsert,character_timeline,cmr25zj9g0478v16zm2pt6fbt,queued,0,5,2026-07-01T14:22:01.597+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.597Z""}}",,2026-07-01T14:22:01.612+00:00,2026-07-01T14:22:01.612+00:00
cmr25zjbh047rv16z5br6qeau,default,upsert,character_timeline,cmr25zj9g0479v16zs0jivy10,queued,0,5,2026-07-01T14:22:01.597+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.597Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047sv16zizs33lgl,default,upsert,character_timeline,cmr25zj9g047av16zajwv91sj,queued,0,5,2026-07-01T14:22:01.598+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.598Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047tv16z4st2xgoy,default,upsert,character_timeline,cmr25zj9g047bv16zaq4iql5e,queued,0,5,2026-07-01T14:22:01.598+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.598Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047uv16zwpxpigt0,default,upsert,character_timeline,cmr25zj9g047cv16zhxwzcnw9,queued,0,5,2026-07-01T14:22:01.599+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.599Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047vv16znr7yf6j5,default,upsert,character_timeline,cmr25zj9g047dv16zx7lw370b,queued,0,5,2026-07-01T14:22:01.599+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.599Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047wv16zcs6zmcwf,default,upsert,character_timeline,cmr25zj9g047ev16zrpr0qfo6,queued,0,5,2026-07-01T14:22:01.600+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.600Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047xv16zm75bkt8i,default,upsert,character_timeline,cmr25zj9g047fv16zc3dquain,queued,0,5,2026-07-01T14:22:01.600+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.600Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047yv16zc8mx70a6,default,upsert,character_timeline,cmr25zj9h047gv16z4fcruahe,queued,0,5,2026-07-01T14:22:01.600+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.600Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh047zv16zqguek37i,default,upsert,character_timeline,cmr25zj9h047hv16zca4f7wn1,queued,0,5,2026-07-01T14:22:01.601+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.601Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh0480v16z4s13tk1t,default,upsert,character_timeline,cmr25zj9h047iv16z4w2zkq71,queued,0,5,2026-07-01T14:22:01.601+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.601Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh0481v16zgact9kqa,default,upsert,character_timeline,cmr25zj9h047jv16zniycaoup,queued,0,5,2026-07-01T14:22:01.602+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.602Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh0482v16zjxvqdqiu,default,upsert,character_timeline,cmr25zj9h047kv16z6lky7c6j,queued,0,5,2026-07-01T14:22:01.602+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.602Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh0483v16zfvkxbyq6,default,upsert,character_timeline,cmr25zj9h047lv16zh7e3prw8,queued,0,5,2026-07-01T14:22:01.602+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.602Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
cmr25zjbh0484v16zamp719cg,default,upsert,character_timeline,cmr25zj9h047mv16zloax1vm6,queued,0,5,2026-07-01T14:22:01.602+00:00,"{""progress"":{""stage"":""queued"",""label"":""等待执行"",""detail"":""索引任务已进入队列。"",""percent"":0,""updatedAt"":""2026-07-01T14:22:01.602Z""}}",,2026-07-01T14:22:01.613+00:00,2026-07-01T14:22:01.613+00:00
