id,styleProfileId,antiAiRuleId,enabled,weight,createdAt,updatedAt
cmr06ghiu000vr46zt2c5teyh,cmr06ghii000ur46zowusceew,cmr06ghdv000cr46z8r0vqnwx,1,1.0,2026-06-30T04:59:40.086+00:00,2026-06-30T04:59:40.086+00:00
cmr06ghiv000wr46zs92i1ge5,cmr06ghii000ur46zowusceew,cmr06ghev000gr46zcy1vawsu,1,1.0,2026-06-30T04:59:40.086+00:00,2026-06-30T04:59:40.086+00:00
cmr06ghiv000xr46zvpu2mrrl,cmr06ghii000ur46zowusceew,cmr06ghep000fr46zyf0wuyez,1,1.0,2026-06-30T04:59:40.086+00:00,2026-06-30T04:59:40.086+00:00
cmr06ghj6000zr46zxz1nnzx6,cmr06ghj1000yr46zelszgs77,cmr06ghfc000jr46zu41j1uay,1,1.0,2026-06-30T04:59:40.098+00:00,2026-06-30T04:59:40.098+00:00
cmr06ghj90010r46zssla36j4,cmr06ghj1000yr46zelszgs77,cmr06ghdh000ar46zp5jzpmin,1,1.0,2026-06-30T04:59:40.098+00:00,2026-06-30T04:59:40.098+00:00
cmr06ghj90011r46zn3aticz9,cmr06ghj1000yr46zelszgs77,cmr06ghdv000cr46z8r0vqnwx,1,1.0,2026-06-30T04:59:40.098+00:00,2026-06-30T04:59:40.098+00:00
cmr06ghj90012r46z6ktbnstj,cmr06ghj1000yr46zelszgs77,cmr06ghe8000er46ziku5i3e1,1,1.0,2026-06-30T04:59:40.098+00:00,2026-06-30T04:59:40.098+00:00
cmr06ghjs0014r46z74liggv8,cmr06ghjp0013r46z2zn8ag9n,cmr06ghf6000ir46z8jp6eixk,1,1.0,2026-06-30T04:59:40.120+00:00,2026-06-30T04:59:40.120+00:00
cmr06ghjt0015r46zai3mjxhb,cmr06ghjp0013r46z2zn8ag9n,cmr06ghe2000dr46z6xowmbjw,1,1.0,2026-06-30T04:59:40.120+00:00,2026-06-30T04:59:40.120+00:00
cmr06ghjt0016r46zs4qjr1k6,cmr06ghjp0013r46z2zn8ag9n,cmr06ghdq000br46z95ai24kk,1,1.0,2026-06-30T04:59:40.120+00:00,2026-06-30T04:59:40.120+00:00
cmr06ghjt0017r46ziyut0gwy,cmr06ghjp0013r46z2zn8ag9n,cmr06ghev000gr46zcy1vawsu,1,1.0,2026-06-30T04:59:40.120+00:00,2026-06-30T04:59:40.120+00:00
cmr06ghkd0019r46zu9ixsbgv,cmr06ghka0018r46ze89sy5ql,cmr06ghf6000ir46z8jp6eixk,1,1.0,2026-06-30T04:59:40.141+00:00,2026-06-30T04:59:40.141+00:00
cmr06ghkd001ar46zw1gk1ncx,cmr06ghka0018r46ze89sy5ql,cmr06ghdq000br46z95ai24kk,1,1.0,2026-06-30T04:59:40.141+00:00,2026-06-30T04:59:40.141+00:00
cmr06ghkd001br46zu10qbrjx,cmr06ghka0018r46ze89sy5ql,cmr06ghe8000er46ziku5i3e1,1,1.0,2026-06-30T04:59:40.141+00:00,2026-06-30T04:59:40.141+00:00
